DATE;KURŞUNSUZ BENZİN (TL/LT);GAZ YAĞI (TL/LT);TP MOTORİN (TL/LT);MOTORİN (TL/LT);KALORİFER YAKITI (TL/KG);FUEL OIL (TL/KG);Y.K. FUEL OIL (TL/KG)
7.Oca.21;7,22 ;5,61 ;6,61 ;6,58 ;4,71 ;4,13 ;3,80 
12.Oca.21;7,22 ;5,61 ;6,61 ;6,58 ;4,71 ;4,13 ;3,80 
13.Oca.21;7,22 ;5,61 ;6,61 ;6,58 ;4,90 ;4,34 ;4,03 
14.Oca.21;7,22 ;5,85 ;6,61 ;6,58 ;4,90 ;4,34 ;4,03 
19.Oca.21;7,22 ;5,85 ;6,61 ;6,58 ;4,90 ;4,34 ;4,03 
26.Oca.21;7,22 ;5,85 ;6,61 ;6,58 ;4,90 ;4,34 ;4,03 
28.Oca.21;7,22 ;5,69 ;6,61 ;6,58 ;4,90 ;4,34 ;4,03 
6.Şub.21;7,22 ;5,69 ;6,61 ;6,58 ;5,03 ;4,56 ;3,99 
9.Şub.21;7,27 ;5,69 ;6,66 ;6,63 ;5,03 ;4,56 ;3,99 
10.Şub.21;7,27 ;5,84 ;6,66 ;6,63 ;5,03 ;4,56 ;3,99 
11.Şub.21;7,27 ;5,84 ;6,66 ;6,63 ;5,03 ;4,56 ;3,99 
12.Şub.21;7,27 ;5,84 ;6,66 ;6,63 ;5,03 ;4,56 ;3,99 
16.Şub.21;7,27 ;5,84 ;6,66 ;6,63 ;5,15 ;4,66 ;4,07 
20.Şub.21;7,27 ;6,00 ;6,66 ;6,63 ;5,15 ;4,66 ;4,07 
26.Şub.21;7,27 ;6,00 ;6,66 ;6,63 ;5,51 ;5,00 ;4,34 
27.Şub.21;7,28 ;6,00 ;6,66 ;6,63 ;5,51 ;5,00 ;4,34 
2.Mar.21;7,28 ;6,27 ;6,66 ;6,63 ;5,51 ;5,00 ;4,34 
9.Mar.21;7,28 ;6,27 ;6,66 ;6,63 ;5,89 ;5,40 ;4,67 
11.Mar.21;7,29 ;6,51 ;6,66 ;6,63 ;5,89 ;5,40 ;4,67 
13.Mar.21;7,29 ;6,51 ;6,66 ;6,63 ;5,72 ;5,16 ;4,63 
18.Mar.21;7,08 ;6,51 ;6,46 ;6,44 ;5,72 ;5,16 ;4,63 
23.Mar.21;7,08 ;6,08 ;6,46 ;6,44 ;5,33 ;4,80 ;4,30 
24.Mar.21;7,08 ;6,45 ;6,46 ;6,44 ;5,73 ;5,18 ;4,57 
25.Mar.21;7,08 ;6,27 ;6,46 ;6,44 ;5,53 ;4,99 ;4,41 
26.Mar.21;7,08 ;6,45 ;6,46 ;6,44 ;5,74 ;5,19 ;4,60 
27.Mar.21;7,08 ;6,26 ;6,46 ;6,44 ;5,56 ;5,02 ;4,44 
30.Mar.21;7,08 ;6,49 ;6,46 ;6,44 ;5,77 ;5,20 ;4,60 
8.Nis.21;7,08 ;6,49 ;6,46 ;6,44 ;5,77 ;5,20 ;4,60 
9.Nis.21;7,09 ;6,49 ;6,47 ;6,45 ;5,77 ;5,20 ;4,60 
17.Nis.21;7,09 ;6,72 ;6,47 ;6,45 ;5,77 ;5,20 ;4,60 
21.Nis.21;7,09 ;6,72 ;6,47 ;6,45 ;5,95 ;5,36 ;4,82 
4.May.21;7,09 ;6,86 ;6,47 ;6,45 ;5,95 ;5,36 ;4,82 
7.May.21;7,09 ;7,14 ;6,47 ;6,45 ;6,29 ;5,62 ;5,05 
12.May.21;7,09 ;7,14 ;6,47 ;6,45 ;6,12 ;5,44 ;4,87 
20.May.21;7,71 ;7,14 ;7,23 ;7,20 ;6,12 ;5,44 ;4,87 
24.May.21;7,71 ;7,14 ;7,23 ;7,20 ;6,12 ;5,44 ;4,87 
26.May.21;7,71 ;7,14 ;7,23 ;7,20 ;6,10 ;5,33 ;4,81 
29.May.21;7,73 ;7,14 ;7,25 ;7,22 ;6,21 ;5,46 ;4,98 
5.Haz.21;7,73 ;7,41 ;7,25 ;7,22 ;6,47 ;5,70 ;5,12 
23.Haz.21;7,73 ;7,67 ;7,25 ;7,22 ;6,72 ;5,93 ;5,35 
24.Haz.21;7,75 ;7,67 ;7,26 ;7,23 ;6,72 ;5,93 ;5,35 
2.Tem.21;7,75 ;7,67 ;7,26 ;7,23 ;6,72 ;5,93 ;5,35 
6.Tem.21;7,75 ;7,67 ;7,26 ;7,23 ;6,94 ;6,19 ;5,51 
9.Tem.21;7,75 ;7,67 ;7,26 ;7,23 ;6,68 ;5,96 ;5,22 
13.Tem.21;7,75 ;7,67 ;7,26 ;7,23 ;6,90 ;6,14 ;5,43 
27.Tem.21;7,75 ;7,61 ;7,26 ;7,23 ;6,70 ;5,96 ;5,32 
3.Ağu.21;7,75 ;7,61 ;7,32 ;7,29 ;6,70 ;5,96 ;5,32 
10.Ağu.21;7,75 ;7,61 ;7,30 ;7,27 ;6,70 ;5,96 ;5,32 
11.Ağu.21;7,75 ;7,37 ;7,30 ;7,27 ;6,46 ;5,73 ;5,17 
24.Ağu.21;7,75 ;7,37 ;7,30 ;7,27 ;6,22 ;5,50 ;4,92 
25.Ağu.21;7,75 ;7,37 ;7,30 ;7,27 ;6,38 ;5,65 ;5,08 
1.Eyl.21;7,75 ;7,37 ;7,30 ;7,27 ;6,55 ;5,78 ;5,26 
10.Eyl.21;7,75 ;7,56 ;7,30 ;7,27 ;6,75 ;6,07 ;5,32 
16.Eyl.21;7,78 ;7,56 ;7,32 ;7,29 ;6,75 ;6,07 ;5,32 
21.Eyl.21;7,78 ;7,88 ;7,32 ;7,29 ;6,75 ;6,07 ;5,32 
22.Eyl.21;7,78 ;7,88 ;7,32 ;7,29 ;7,00 ;6,22 ;5,52 
24.Eyl.21;7,78 ;7,88 ;7,32 ;7,29 ;7,00 ;6,22 ;5,52 
28.Eyl.21;7,78 ;7,88 ;7,32 ;7,29 ;7,40 ;6,60 ;5,88 
29.Eyl.21;7,78 ;8,46 ;7,32 ;7,29 ;7,40 ;6,60 ;5,88 
2.Eki.21;7,78 ;8,46 ;7,32 ;7,29 ;7,40 ;6,60 ;5,88 
6.Eki.21;7,78 ;8,46 ;7,32 ;7,29 ;7,76 ;6,89 ;6,25 
7.Eki.21;7,78 ;8,46 ;7,32 ;7,29 ;7,91 ;6,99 ;6,43 
8.Eki.21;7,78 ;8,83 ;7,55 ;7,52 ;7,91 ;6,99 ;6,43 
16.Eki.21;7,92 ;9,23 ;7,96 ;7,93 ;7,91 ;6,99 ;6,43 
19.Eki.21;7,92 ;9,47 ;8,19 ;8,16 ;7,91 ;6,99 ;6,43 
20.Eki.21;7,92 ;9,47 ;8,19 ;8,16 ;8,28 ;7,27 ;6,53 
21.Eki.21;7,95 ;9,47 ;8,21 ;8,18 ;8,28 ;7,27 ;6,53 
26.Eki.21;8,39 ;9,47 ;8,21 ;8,18 ;8,28 ;7,27 ;6,53 
27.Eki.21;8,67 ;9,47 ;8,21 ;8,18 ;8,28 ;7,27 ;6,53 
28.Eki.21;8,42 ;9,47 ;8,21 ;8,18 ;8,48 ;7,47 ;6,58 
29.Eki.21;8,42 ;9,47 ;8,21 ;8,18 ;8,33 ;7,33 ;6,39 
2.Kas.21;8,42 ;9,47 ;8,21 ;8,18 ;8,33 ;7,33 ;6,39 
11.Kas.21;8,10 ;9,47 ;8,21 ;8,18 ;8,33 ;7,33 ;6,39 
16.Kas.21;8,10 ;9,47 ;8,21 ;8,18 ;8,47 ;7,52 ;6,38 
19.Kas.21;8,10 ;9,47 ;8,21 ;8,18 ;8,78 ;7,81 ;6,69 
20.Kas.21;8,62 ;10,00 ;8,71 ;8,68 ;8,78 ;7,81 ;6,69 
23.Kas.21;8,62 ;10,00 ;8,71 ;8,68 ;8,78 ;7,81 ;6,69 
24.Kas.21;8,62 ;10,00 ;8,71 ;8,68 ;9,20 ;8,20 ;7,02 
25.Kas.21;9,68 ;11,14 ;9,79 ;9,76 ;10,10 ;9,00 ;7,74 
26.Kas.21;9,68 ;11,59 ;9,79 ;9,76 ;10,58 ;9,47 ;8,11 
27.Kas.21;9,68 ;11,07 ;9,79 ;9,76 ;10,06 ;9,00 ;7,68 
30.Kas.21;9,68 ;10,01 ;9,79 ;9,76 ;9,18 ;8,27 ;6,96 
1.Ara.21;9,68 ;10,68 ;9,35 ;9,32 ;9,80 ;8,79 ;7,47 
2.Ara.21;9,10 ;10,68 ;9,35 ;9,32 ;9,80 ;8,79 ;7,47 
